id,title,author_info,rating,pros,cons,Categories
163,Good,"Jun 16, 2022 - Team Leader in Chennai",5,Worst in work life balance,No time for family.. Especially in ops,Technology
164,Awesome work culture,"Jun 16, 2022 - QAE II in Bangalore",5,Work culture Growth Tech knowledge of Amazonians around you,Sometimes you need to stretch and work,Culture
165,Good,"Jun 16, 2022 - Senior Associate - Compliance Operations in Bangalore",5,Thanks for detailed job description,i didn't find any cons,Management
166,Test Engineer,"Jun 16, 2022 - Software Test Engineer in Bangalore",5,Amazon is a very good company,Company does not have any cons,Culture
167,One of the best IT companies with employee friendly work culture,"Jun 16, 2022 - Transportation Specialist in Hyderābād",5,Give your best... There is always reward and recognition for whatever you do,Nothing as such! It's how you take up,Culture
168,Good work culture,"Jun 16, 2022 - ML Data Associate-1 in Hyderābād",5,Good work culture and scope of growth within organization,Cannot learn anything technically with this role,Culture
169,Working in amazon,"Jun 30, 2022 - Anonymous Employee in Bangalore",4,"Perks, not much work pressure","No cons as such, good company",Culture
170,overall good experience,"Jun 30, 2022 - Software Engineer in Bangalore",4,good infrastructure good location good salary,lot of work flexible timings,Management
171,Good Experience,"Jun 12, 2022 - Virtual Customer Service Associate in Chandigarh",5,"It is helpful in Growth, gaining Experience and overall Benefits.",Sometimes the sudden shift changes may be hectic.,Technology
172,No standard Salary,"Jun 30, 2022 - Business Analyst in Bangalore",3,"Good Culture, Good Office ambience Get more learnings","High pressure, Work is not organized, No trainings are provided for freshers. Just 4-5 hours KT sessions are provided",Culture
173,great,"Jun 30, 2022 - Software Development Engineer (SDE) in Pune",3,benefits like everything from morning to evening,the stress level is high,Culture
174,Best company ever,"Jun 14, 2022 - Cloud Engineer in Bangalore",5,The best company with so much of benefits,I dont think there is any coms,Culture
175,Good,"Jun 15, 2022 - Associate in Pune",5,"Time, weekoffs, culture, atmosphere, leaves","Salary, bonus, extra work, grown, less opportunities",Culture
176,Review,"Jun 15, 2022 - Process Associate in Bangalore",5,Best working culture environment over here.,I couldn't find any of the cons.,Culture
177,Amazing place for working,"Jun 15, 2022 - Senior Associate in Pune",5,Really very good place to work for.,No cons are there at least till now,Technology
178,PM L5,"Jun 15, 2022 - Software Development Engineer (SDE) in Bangalore",5,Perks are good cabs are provided,Work-life balance can get hectic,Management
179,Awesome,"Jun 15, 2022 - Compliance Associate in Bangalore",5,"Great work life balance, salary, everything","Job pressure, long working hours",Technology
180,Good experience overall,"Jun 15, 2022 - Customer Service Representative in Jaipur, Rajasthan",5,"Good environment, Less workload, Friendly atmosphere Good work life balance Occassional meetings in 5 star hotels",Sometimes management tries to take extra work,Management
181,Proud Amazonian : Great company to work for,"Jun 29, 2022 - Subject Matter Expert (SME) in Chennai",4,1)Opportunities for professional development. 2)Great benefits and work life. 3) Hires the candidate despite of having career gap(with a fair reason ).,No Cons as of now.,Human_Resources
182,.,"Jun 29, 2022 - Transaction Risk Investigator in Hyderābād",4,Great work atmosphere & diverse culture,Change in culture with change in management.,Culture
183,Excellent,"Jun 29, 2022 - Team Manager in Hyderābād",4,It is a great place to work. Helpful people,Too much work pressure. No work life balance,Technology
184,Highly Professional and demanding work culture,"Jun 29, 2022 - Senior Technical Program Manager in Hyderābād",4,Ample learning opportunities High work standards Freedom to choose progression path,Work life balance Competitive culture over team culture Approachability to management,Culture
185,Not bad no tech skills,"Jun 29, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",4,Average pay and good culture,No faster growth and need atleast 3 years,Management
186,Review,"Jun 15, 2022 - Process Associate in Bangalore",5,Best working culture environment over here.,I couldn't find any of the cons.,Culture
187,Amazing place for working,"Jun 15, 2022 - Senior Associate in Pune",5,Really very good place to work for.,No cons are there at least till now,Technology
188,PM L5,"Jun 15, 2022 - Software Development Engineer (SDE) in Bangalore",5,Perks are good cabs are provided,Work-life balance can get hectic,Management
189,Awesome,"Jun 15, 2022 - Compliance Associate in Bangalore",5,"Great work life balance, salary, everything","Job pressure, long working hours",Technology
190,Good experience overall,"Jun 15, 2022 - Customer Service Representative in Jaipur, Rajasthan",5,"Good environment, Less workload, Friendly atmosphere Good work life balance Occassional meetings in 5 star hotels",Sometimes management tries to take extra work,Management
191,Proud Amazonian : Great company to work for,"Jun 29, 2022 - Subject Matter Expert (SME) in Chennai",4,1)Opportunities for professional development. 2)Great benefits and work life. 3) Hires the candidate despite of having career gap(with a fair reason ).,No Cons as of now.,Human_Resources
192,.,"Jun 29, 2022 - Transaction Risk Investigator in Hyderābād",4,Great work atmosphere & diverse culture,Change in culture with change in management.,Culture
193,Excellent,"Jun 29, 2022 - Team Manager in Hyderābād",4,It is a great place to work. Helpful people,Too much work pressure. No work life balance,Technology
194,Highly Professional and demanding work culture,"Jun 29, 2022 - Senior Technical Program Manager in Hyderābād",4,Ample learning opportunities High work standards Freedom to choose progression path,Work life balance Competitive culture over team culture Approachability to management,Culture
195,Not bad no tech skills,"Jun 29, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",4,Average pay and good culture,No faster growth and need atleast 3 years,Management
196,Positive,"Jun 29, 2022 - Software Developer in Bangalore",3,Work culture is awesome for passionate people,Overload of work happens somedays,Culture
197,Good for curious minds,"Jun 13, 2022 - Support Engineering Manager in Chennai",5,Culture Process Teams empowerment and taking fast decisions Customer focused,None at this moment .,Management
198,Good job,"Jun 14, 2022 - Trainer in Bangalore",5,"No stress, helping co workers",No cons as such noticed,Technology
199,Digital Associate at Amazon,"Jun 14, 2022 - Digital Associate in Chennai",5,Extra benefits Stress free and approachable,No such cons it's according to the skills we've,Technology
200,Great learnings,"Jun 14, 2022 - Senior Product Manager in Bangalore",5,Great learning Business acumen Great salary Good career opportunities Strong Brand name,Work-life Heavy processes Heavy writing culture (can be good for someone),Management
201,Professional Work Culture,"Jun 14, 2022 - Technical Account Manager (TAM) in Bangalore",5,"Very Well organised onboarding plan, gives confidence on your way to success at Amazon. Team is extremely professional and supportive.",Compensation Plan could have been better.,Technology
202,The good and the bad.,"Jun 27, 2022 - Software Development Engineer in Bangalore",4,Opportunity to work on something impactful. Work environment and culture,Not looking out for individuals goal and development.,Culture
203,Good working,"Jun 28, 2022 - Sps Associate in Mumbai",4,Good environment and good Process EXCELLENT management and people.,Need more growth and yearly increments.,Management
204,Salary Review,"Jun 10, 2022 - D2AS Advanced Technician in Hyderābād",5,Everyday is day 1 in Amazon,Not much of cons I can recall,Technology
205,Nice,"Jun 13, 2022 - Process Specialist in Hyderābād",5,"Casual, moderate work pressure, and much more","Rotational shifts, not everyone is as good as u but get recognised by management.",Management
206,Overall great company,"Jun 13, 2022 - Transaction Risk Investigator in Bangalore",5,Get to learn a lot Friendly work colleagues,No cons for the company,Culture
207,Is a good job for work from home candidate,"Jun 13, 2022 - Virtual Assistant Customer Service Support in Panapākkam",5,"*Even though students can apply this job * We feels like easiest job we can handle the customer without any stress *If we having the good laptop, good microphone we can easily connect with our Amazon customers",*I think no cons is there,Technology
208,Amazon review,"Jun 13, 2022 - Business Ops Specialist in New Delhi",5,Friendly - Work Environment Reasonable salary for everyone,Take too much time to respond.,Technology
209,Transcation Risk Investigator,"Jun 13, 2022 - Transcation Risk Investigator in Hyderābād",5,"Good company, work life balance, freedom, good pay, cab","not transparent, night shifts, food,",Culture
